name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"88games","'88 Games","1988",Konami,-,-,-,YES,NO,NO,NO,NO,"88games.cpp",BUONO,RASTER,"0",320,224,HORIZONTAL,"konami/88games.cpp"
flagrall,"'96 Flag Rally","1996",Promat?,-,-,-,YES,NO,NO,NO,NO,"1945kiii.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"promat/1945kiii.cpp"
"005","005","1981",Sega,-,-,"005",YES,NO,NO,NO,NO,"segag80r.cpp",INCOMPLETO,RASTER,"270",256,224,VERTICAL,"sega/segag80r.cpp"
"1on1gov","1 on 1 Government (Japan)","2000",Tecmo,"coh1002m",-,-,YES,NO,NO,NO,NO,zn.cpp,INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,sony/zn.cpp
"10yard","10-Yard Fight (World, set 1)","1983",Irem,-,-,-,YES,NO,NO,NO,NO,"m58.cpp",BUONO,RASTER,"0",256,224,HORIZONTAL,"irem/m58.cpp"
gtmr,"1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)","1994",Kaneko,-,-,-,YES,NO,NO,NO,NO,"kaneko16.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"kaneko/kaneko16.cpp"
progolf,"18 Holes Pro Golf (set 1)","1981","Data East Corporation",-,-,-,YES,NO,NO,NO,NO,progolf.cpp,INCOMPLETO,RASTER,"270",256,256,VERTICAL,dataeast/progolf.cpp
"18wheelr","18 Wheeler: American Pro Trucker (deluxe, Rev A)","2000",Sega,naomi,-,-,YES,NO,NO,NO,NO,naomi.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,sega/naomi.cpp
"1941","1941: Counter Attack (World 900227)","1990",Capcom,-,-,-,YES,NO,NO,NO,NO,"cps1.cpp",BUONO,RASTER,"270",384,224,VERTICAL,"capcom/cps1.cpp"
"pc_1942","1942 (PlayChoice-10)","1987",Capcom,"playch10",-,-,YES,NO,NO,NO,NO,"playch10.cpp",BUONO,RASTER,"0",256,240,HORIZONTAL,"nintendo/playch10.cpp"
"1942","1942 (Revision B)","1984",Capcom,-,-,-,YES,NO,NO,NO,NO,"1942.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"capcom/1942.cpp"
"1943kai","1943 Kai: Midway Kaisen (Japan)","1987",Capcom,-,-,-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"capcom/1943.cpp"
"1943","1943: The Battle of Midway (Euro)","1987",Capcom,-,-,-,YES,NO,NO,NO,NO,"1943.cpp",BUONO,RASTER,"270",256,224,VERTICAL,"capcom/1943.cpp"
